GEO_ID,NAME,B01003_001E,B01003_001EA,B01003_001M,B01003_001MA
Geography,Geographic Area Name,Estimate!!Total,Annotation of Estimate!!Total,Margin of Error!!Total,Annotation of Margin of Error!!Total
0500000US48075,"Childress County, Texas",7059,null,*****,*****
0500000US48077,"Clay County, Texas",10367,null,*****,*****
0500000US48079,"Cochran County, Texas",2955,null,*****,*****
0500000US48081,"Coke County, Texas",3228,null,*****,*****
0500000US48083,"Coleman County, Texas",8476,null,*****,*****
0500000US48085,"Collin County, Texas",886633,null,*****,*****
0500000US48087,"Collingsworth County, Texas",3032,null,*****,*****
0500000US48089,"Colorado County, Texas",20792,null,*****,*****
0500000US48091,"Comal County, Texas",124234,null,*****,*****
0500000US48093,"Comanche County, Texas",13506,null,*****,*****
0500000US48095,"Concho County, Texas",4142,null,*****,*****
0500000US48097,"Cooke County, Texas",38878,null,*****,*****
0500000US48099,"Coryell County, Texas",75710,null,*****,*****
0500000US48101,"Cottle County, Texas",1560,null,116,null
0500000US48103,"Crane County, Texas",4823,null,*****,*****
0500000US48105,"Crockett County, Texas",3836,null,201,null
0500000US48107,"Crosby County, Texas",5987,null,*****,*****
0500000US48109,"Culberson County, Texas",2259,null,*****,*****
0500000US48111,"Dallam County, Texas",7052,null,*****,*****
0500000US48113,"Dallas County, Texas",2513054,null,*****,*****
0500000US48115,"Dawson County, Texas",13317,null,*****,*****
0500000US48117,"Deaf Smith County, Texas",19039,null,*****,*****
0500000US48119,"Delta County, Texas",5226,null,*****,*****
0500000US48121,"Denton County, Texas",754650,null,*****,*****
0500000US48123,"DeWitt County, Texas",20660,null,*****,*****
0500000US48125,"Dickens County, Texas",2237,null,*****,*****
0500000US48127,"Dimmit County, Texas",10842,null,*****,*****
0500000US48129,"Donley County, Texas",3506,null,*****,*****
0500000US48131,"Duval County, Texas",11510,null,*****,*****
0500000US48133,"Eastland County, Texas",18252,null,*****,*****
0500000US48135,"Ector County, Texas",153177,null,*****,*****
0500000US48137,"Edwards County, Texas",2028,null,128,null
0500000US48139,"Ellis County, Texas",160225,null,*****,*****
0500000US48141,"El Paso County, Texas",833592,null,*****,*****
0500000US48143,"Erath County, Texas",40641,null,*****,*****
0500000US48145,"Falls County, Texas",17265,null,*****,*****
0500000US48147,"Fannin County, Texas",33757,null,*****,*****
0500000US48149,"Fayette County, Texas",24909,null,*****,*****
0500000US48151,"Fisher County, Texas",3847,null,*****,*****
0500000US48153,"Floyd County, Texas",6088,null,*****,*****
0500000US48155,"Foard County, Texas",1320,null,145,null
0500000US48157,"Fort Bend County, Texas",683756,null,*****,*****
0500000US48159,"Franklin County, Texas",10571,null,*****,*****
0500000US48161,"Freestone County, Texas",19585,null,*****,*****
0500000US48163,"Frio County, Texas",18542,null,*****,*****
0500000US48165,"Gaines County, Texas",19485,null,*****,*****
0500000US48167,"Galveston County, Texas",314485,null,*****,*****
0500000US48169,"Garza County, Texas",6614,null,195,null
0500000US48171,"Gillespie County, Texas",25732,null,*****,*****
0500000US48173,"Glasscock County, Texas",1253,null,104,null
0500000US48175,"Goliad County, Texas",7463,null,*****,*****
0500000US48177,"Gonzales County, Texas",20370,null,*****,*****
0500000US48179,"Gray County, Texas",23028,null,*****,*****
0500000US48181,"Grayson County, Texas",124231,null,*****,*****
0500000US48183,"Gregg County, Texas",123283,null,*****,*****
0500000US48185,"Grimes County, Texas",27140,null,*****,*****
0500000US48187,"Guadalupe County, Texas",147313,null,*****,*****
0500000US48189,"Hale County, Texas",35007,null,*****,*****
0500000US48191,"Hall County, Texas",3162,null,*****,*****
